pmid,title,authors,year,journal,abstract
31312481,Adolescents and loot boxes: links with problem gambling and motivations for purchase.,Zendle David et al.,2019,Royal Society open science,"Loot boxes are items in video games that can be paid for with real-world money but contain randomized contents. Many games that feature loot boxes are played by adolescents. Similarities between loot boxes and gambling have led to concern that they are linked to the development of problem gambling in adolescents. Previous research has shown links between loot boxes and problem gambling in adult populations. However, thus far, there is no empirical evidence of either the size or existence of a link between loot box spending and problem gambling in adolescents. A large-scale survey of 16- to 18-year-olds (n = 1155) found evidence for such a link (η 2 = 0.120). The link between loot box spending and problem gambling among these older adolescents was of moderate to large magnitude. It was stronger than relationships previously observed in adults. Qualitative analysis of text data showed that gamers bought loot boxes for a variety of reasons. Several of these motivations were similar to common reasons for engaging in gambling. Overall, these results suggest that loot boxes either cause problem gambling among older adolescents, allow game companies to profit from adolescents with gambling problems for massive monetary rewards, or both of the above. Possible strategies for regulation and restriction are given."
35933619,"Opening Pandora's Loot Box: Weak Links Between Gambling and Loot Box Expenditure in China, and Player Opinions on Probability Disclosures and Pity-Timers.",Xiao Leon Y et al.,2023,Journal of gambling studies,"Loot boxes are quasi-gambling virtual products in video games that provide randomised rewards of varying value. Previous studies in Western contexts have identified a positive correlation between loot box purchasing and problem gambling severity. A preregistered survey of People's Republic of China (PRC) video game players (N = 879) failed to replicate this correlation. We observed statistically significant but weak positive correlations between loot box expenditure and past-year gambling participation, and between loot box expenditure and impulsiveness. This study cannot prove that loot boxes are not disproportionately purchased by people with problem gambling symptomatology in the PRC or that PRC players are not potentially at risk of loot box-related harms. Instead, the evidence suggests that the relationship between loot boxes and gambling might be weaker in the PRC than in Western countries. We identified multiple unique factors about the PRC that might be affecting this relationship. For example, the lotteries are the only legally permitted form of gambling. More gamified electronic gambling products are unavailable. The limited availability of gambling meant that a low level of gambling participation (n = 87) was observed, which is a limitation of this study. Additionally, the PRC is presently the only country to legally require loot box probability disclosures as a consumer protection measure. Most loot box purchasers (84.6%) reported seeing loot box probability disclosures, but only 19.3% of this group reported consequently spending less money. Most loot box purchasers (86.9%) thought that pity-timers, which increase the winning probabilities of obtaining rarer rewards, are appropriate for implementation. Future loot box research should give greater consideration to differing cultural contexts and novel consumer protection measures."
41556971,"Should gaming disorder include non-digital gaming activities, e.g., collectible card games, tabletop games?",Sanders James L et al.,2026,Journal of behavioral addictions,"This commentary critically considers the case for including non-digital gaming within the scope of gaming disorder. The ICD-11 category for gaming disorder refers to gaming (i.e., 'digital gaming' or 'video-gaming') which may be predominantly 'online' (i.e., over the internet) versus 'offline'. Non-digital forms of gaming (i.e., gaming that does not involve any electronic devices and is not conducted over the internet) are not explicitly recognized. We suggest that gaming in both digital and non-digital formats is an activity of relevance to addiction studies and public health, and that an exclusive focus on digital gaming may overlook potential non-digital game-related risks and harms. We refer to popular collectible card games (e.g., Pokémon, Magic: The Gathering [MtG]) and tabletop games (e.g., Warhammer 40K), as these activities seem to have the most in common with online games, particularly in relation to similarities to digital monetization schemes (e.g., loot boxes). We call for research to investigate the relative costs and benefits of engagement in non-digital gaming activities. If highly involved players of non-digital games tend to not report gaming disorder symptoms or harm, then it may be worthwhile examining how these players differ from digital game players. Finally, investigating non-digital gaming may produce new insights into developing effective interventions and preventive measures for problematic digital gaming."
36202911,No effect of short term exposure to gambling like reward systems on post game risk taking.,D'Amico Nicholas J et al.,2022,Scientific reports,"Is engaging with gambling-like video game rewards a risk factor for future gambling? Despite speculation, there are no direct experimental tests of this ""gateway hypothesis"". We test a mechanism that might support this pathway: the effects of engaging with gambling-like reward mechanisms on risk-taking. We tested the hypothesis that players exposed to gambling-like rewards (i.e., randomised rewards delivered via a loot box) would show increased risk-taking compared to players in fixed and no reward control conditions. 153 participants (Mage = 25) completed twenty minutes of gameplay-including exposure to one of the three reward conditions-before completing a gamified, online version of the Balloon Analogue Risk Task (BART). Self-reports of gambling and loot box engagement were collected via the Problem Gambling Severity Index, and Risky Loot-Box Index. Bayesian t-tests comparing BART scores across reward conditions provided moderate to strong evidence for a null effect of condition on risk-taking (BF = 4.05-10.64). Null effects were not moderated by players' problem gambling symptomatology. A Spearman correlation between past loot box engagement and self-reported gambling severity (rs = 0.35) aligned with existing literature. Our data speak against a ""gateway"" hypothesis, but add support to the notion that problem gambling symptoms might make players vulnerable to overspending on loot boxes."
31760581,"Rare Loot Box Rewards Trigger Larger Arousal and Reward Responses, and Greater Urge to Open More Loot Boxes.",Larche Chanel J et al.,2021,Journal of gambling studies,"Loot boxes are a purchasable video-game feature consisting of randomly determined, in-game virtual items. Due to their chance-based nature, there is much debate as to whether they constitute a form of gambling. We sought to address this issue by examining whether players treat virtual loot box rewards in a way that parallels established reward reactivity for monetary rewards in slots play. Across two sets of experiments, we show that loot boxes containing rarer items are more valuable, arousing, rewarding and urge-inducing to players, similar to the way slots gamblers treat rare large wins in slots play. Importantly, we show in Experiment 2 that the duration of Post Reinforcement Pauses, an index of reward reactivity, are longer for boxes with rarer items. Boxes containing rarer rewards also trigger larger Skin Conductance Responses and larger force responses-indices of positive arousal. Findings of Experiment 2 also revealed that there was an increase in anticipatory arousal prior to the reveal of loot box rewards. Collectively, our results elucidate the structural similarities between loot boxes and specific gambling games. The fact that players find rarer game items hedonically rewarding and motivating has implications for potential risky or excessive loot box use for some players."
41058647,How gacha gaming and life quality shape problem gambling risk: insights from a cross-sectional study using Hong Kong-based online survey of young adults.,Tang Anson Chui Yan et al.,2025,Frontiers in psychiatry,"Research related to the effects of gacha gaming on problem gambling among Chinese young adults in Hong Kong is limited the impact of quality of life (QoL) domains on gacha-related gambling behaviors remains largely unexplored. This study explored associations between gacha gaming behaviors QoL problem gambling risk in this population. A cross-sectional study used an online survey to collect data from 281 young adults (aged 18-25) with experience in freemium gaming. Participants completed questionnaires on socio-demographics, problem gambling risk (PGSI-C), QoL (WHOQOL-BREF, Hong Kong version), and gacha gaming behaviors (e.g., daily gaming time, monthly expenses). Stepwise regression analyzed associations between PGSI scores, QoL domains, and gaming behaviors, with p<0.05 indicating significance. Of 281 respondents, 63.3% belonged to the low-risk problem gambling group, and 11% belonged to the high-risk group. High-risk gamers had significantly higher monthly gacha expenses (p=0.021). Regression analysis revealed a significant association between PGSI scores, daily gaming time, QoL variables, and education level(Adjusted R²=0.113, p=0.001). Physical and overall QoL were negatively associated with problem gambling risk(p<0.01), while daily gaming time and social QoL were positively associated with problem gambling risk(p<0.05,p<0.01). Effect sizes of all significant variables were small (f²=0.014-0.04). The positive association between social QoL and problem gambling risk suggests that a gamer's social circle significantly influences gambling behavior. These findings provide direction for future studies on the contributing roles of different QoL domains in gacha-related gambling among Chinese young adults in Hong Kong. Future studies shall adopt a probability sampling approach and/or a wider sampling pool to increase the generalizability of the findings."
34121958,An Evaluation of Gaming-Related Harms in Relation to Gaming Disorder and Loot Box Involvement.,Carey Patrick Andrew Kerin et al.,2022,International journal of mental health and addiction,"The specific nature of harm and functional impairment in the context of gaming disorder (GD) has received limited attention. In this study, we present one of the first concerted attempts to measure the types and degree of harm experienced by people displaying signs of problem gaming. Attempts were made to assess the extent to which types of harm were attributable to gaming as opposed to other factors. The study also investigated potential behavioural indicators of harmful involvement, including exposure to loot boxes. A sample of 471 regular gamers (M = 380, F = 73), recruited through the online platform Prolific, completed a survey where problem gaming was identified using Petry et al.'s (2014) checklist. Individuals who met the cut-off for gaming disorder scored higher than the non-problem group on most dimensions of harm, with physical and psychological types being the most common issues. Loot box expenditure was low (M = $25 in 3 months, for the 10.8% of respondents who played loot boxes) but significantly positively associated with the degree of gaming-related financial harm. This study shows that problem gaming is most strongly associated with physical or psychological harm and that financial harms may manifest in gaming activities that facilitate continuous spending options."
32203522,"The relationship between problem gambling, excessive gaming, psychological distress and spending on loot boxes in Aotearoa New Zealand, Australia, and the United States-A cross-national survey.",Drummond Aaron et al.,2020,PloS one,"Loot boxes are digital containers of randomised rewards available in many video games. Due to similarities between some loot boxes and traditional forms of gambling, concerns regarding the relationship between spending on loot boxes in video games and symptoms of problematic gambling have been expressed by policy makers and the general public. We present the first investigation of these concerns in large cross-sectional cross-national samples from three countries (Aotearoa New Zealand, Australia, and the United States). A sample of 1,049 participants were recruited through Qualtrics' Survey Targeting service from a broad cross-section of the population in Australia (n = 339), Aotearoa New Zealand (n = 323), and the United States (n = 387). Participants answered a survey assessing problem gambling, problem gaming symptomology, and how much they spent on loot boxes per month. On average, individuals with problem gambling issues spent approximately $13 USD per month more on loot boxes than those with no such symptoms. Loot box spending was also associated with both positive and negative moods, albeit with small effect sizes. Analyses showed both interactions and correlations between problematic gambling and problematic gaming symptoms, indicating both some commonality in the mechanisms underlying, and independent contributions made by, these proposed diagnostic criteria. These results provide context for dialogues regarding how best to reduce the impacts of loot box spending among those with problematic gambling symptoms."
35954678,Response to the Regulation of Video Games under the Youth Media Protection Act: A Public Health Perspective.,Lischer Suzanne et al.,2022,International journal of environmental research and public health,"The Swiss Youth and Media Act, which is about to enter into force, is an attempt to provide a legislative framework for video game use. Among other inclusions, the law intends to make providers more accountable by taking measures to protect minors from harm that can be caused by improper use of video games. However, it is a challenge to create a legal framework that can adequately regulate the evolving features of video games. Legislators must find a suitable regulatory approach which takes into account the fact that there is an increasing convergence between video games and gambling, particularly with the introduction of loot boxes. Moreover, there is a need for regulation, including the prohibition of misleading designs, the introduction of additional protection for minors, and the assurance of transparency of transactions. Appropriate policy legislation and consumer-protection measures are needed to protect people using these types of products, particularly children and adolescents. Further work should focus on assessing game characteristics to refine regulatory models to promote safe gaming. Based on experiences from the field of psychoactive substances as well as that of gambling, it is now a matter of developing a matrix of harm with elaborated categories: a tool that makes it possible to evaluate the potential harms of certain game design in an evidence-based manner."
35397261,"Loot boxes and problem gambling: Investigating the ""gateway hypothesis"".",Spicer Stuart Gordon et al.,2022,Addictive behaviors,"Loot boxes are purchasable items in video games with a chance-based outcome. They have attracted substantial attention from academics and legislators over recent years, partly because of associations between loot box engagement and problem gambling. Some researchers have suggested that loot boxes may act as a gateway into subsequent gambling and/or problem gambling. However, such ""gateway effects"" have not been formally investigated. Using a survey of 1102 individuals who both purchase loot boxes and gamble, we found that 19.87% of the sample self-reported either ""gateway effects"" (loot boxes causally influencing subsequent gambling) or ""reverse gateway effects"" (gambling causally influencing subsequent loot box engagement). Both subsets of participants had higher scores for problem gambling, problem video gaming, gambling-related cognitions, risky loot boxes engagement, and impulsivity. These individuals also had a tendency for higher loot box and gambling spend; suggesting that potential gateway effects are related to measurable risks and harms. Moreover, the majority of participants reporting gateway effects were under 18 when they first purchased loot boxes. Content analysis of free text responses revealed several reasons for self-reported gateway effects, the most frequent of which were sensation-seeking, normalisation of gambling-like behaviours, and the addictive nature of both activities. Whilst the cross-sectional nature of our findings cannot conclusively establish directions of causality, thus highlighting the need for longitudinal research, we conclude that there is a case for legislation on loot boxes for harm minimisation purposes."
34258146,Characteristics of Gamers who Purchase Loot Box: a Systematic Literature Review.,Yokomitsu Kengo et al.,2021,Current addiction reports,"Research has indicated that loot boxes are risky gaming components that could exacerbate Internet gaming disorder due to a link between loot box purchasing and gambling. We conducted a systematic review to identify the characteristics of people who purchase loot boxes with real money, focusing on the relationships (a) between loot boxes and gaming, (b) between loot boxes and gambling, and (c) between loot boxes and other variables. Of the 201 studies examined for eligibility, we reviewed 20 studies that met the predefined criteria, which were extracted by searching electronic databases (PsycINFO, PubMed, Ovid, EBSCO, and Web of Science) and the reference lists of included studies, and that were published up to March 27, 2021. Overall, this review identified positive relationships among Internet gaming disorder-related symptoms, disordered gambling symptoms, and engagement with, or investment in, loot boxes. In addition to gaming and gambling, the relationships among some variables, such as mood, gender, physiological state, motivation, and loot box engagement, were examined. The present review clarified relationships between loot box engagement, gaming, gambling, and other variables, such as mood, gender, physiological state, and motivation, and partially identified the characteristics of people who purchase loot boxes using real money. Specifically, those who spend more money in-game on loot boxes exhibit Internet gaming-related and/or disordered gambling symptoms and behaviors. Finally, we discussed future directions for clinical psychological studies on loot boxes."
29952052,Predatory monetization schemes in video games (e.g. 'loot boxes') and internet gaming disorder.,King Daniel L et al.,2018,"Addiction (Abingdon, England)",
35434248,The role of microtransactions in Internet Gaming Disorder and Gambling Disorder: A preregistered systematic review.,Raneri Phillip C et al.,2022,Addictive behaviors reports,"Recently there has been increased interest in understanding the relationship between microtransactions, gaming, and gambling. This review aimed to synthesise the evidence on the relationship between microtransactions, 'Internet Gaming Disorder' (IGD), and Gambling Disorder in order to report on the: psychometric assessments used, sampling and demographic information, study design and sampling methods, relationships between microtransactions and both IGD and gambling disorder. Inclusion criteria included: refereed studies quantifying microtransactions and/or loot boxes examining their relationship with IGD and/or gambling disorder that were published between 2013 and 2021. Electronic databases were searched and the results were synthesised qualitatively. 14 studies were included. The quality of the evidence was 'Good' and clear positive relationships between microtransactions and both IGD and gambling disorder were identified. These relationships apply more to loot boxes than other microtransactions, and risky loot box use was identified as a possible mediator of these relationships. Additionally, microtransaction expenditure increased with the risk of gambling disorder. There is some evidence that adolescents who purchase loot boxes may be more at risk of developing gambling disorder. External validity is limited due to the cross-sectional nature of the evidence, the use of convenience sampling, and the predominantly Western samples resulting in non-representative samples. Prevalence rates of IGD and gambling disorder varied significantly across studies and were different to general prevalence rates. We conclude that there is a need to develop consistent methods for assessing IGD and microtransaction engagement in future research. Implications for policy-makers and future research are discussed."
34068271,"""It's the Attraction of Winning That Draws You in""-A Qualitative Investigation of Reasons and Facilitators for Videogame Loot Box Engagement in UK Gamers.",Nicklin Laura Louise et al.,2021,Journal of clinical medicine,"Excessive engagement with (increasingly prevalent) loot boxes within games has consistently been linked with disordered gambling and/or gaming. The importance of recognising and managing potential risks associated with loot box involvement means understanding contributing factors is a pressing research priority. Given that motivations for gaming and gambling have been informative in understanding risky engagement with those behaviours, this qualitative study investigated motivations for buying loot boxes, through in-depth interviews with 28 gamers from across the UK. A reflexive thematic analysis categorised reasons for buying into seven ""themes""; opening experience; value of box contents; game-related elements; social influences; emotive/impulsive influences; fear of missing out; triggers/facilitators. These themes are described in detail and discussed in relation to the existing literature and motivation theories. This study contributes to understanding ways in which digital items within loot boxes can be highly valued by purchasers, informing the debate around parallels with gambling. Findings that certain motivations were disproportionately endorsed by participants with symptoms of problematic gambling has potential implications for policy and warrants further study."
40887505,Associations between alcohol consumption and spending on gambling like mechanisms in video games.,East Lucy C et al.,2025,Scientific reports,"Loot boxes are purchasable digital containers in video games that hold randomised rewards. Many loot boxes meet both psychological and legal criteria for gambling. Previous studies have linked risky engagement with, and increased spending on, loot boxes with both problem gambling and excessive gaming symptomatology. Given similarities between loot boxes and conventional gambling, and the well documented relationship between alcohol and gambling, this study examined whether loot box spending was associated with drinking behaviours. In a pre-registered study, participants (N = 199) from Australia, Aotearoa (New Zealand), and the United States completed an online survey assessing alcohol consumption, loot box spending behaviours, and problem gambling and gaming symptomatology. Small-to-moderate positive correlations between drinking during gaming sessions and increased risky loot box engagement and spending were observed. In contrast, measures of problematic alcohol consumption did not correlate with increased spending or risky engagement with loot boxes. Results suggest that drinking alcohol while gaming may be associated with risky engagement with, and increased spending on, loot boxes."
38868486,Does the loot box open the door to addiction? A case report of gaming disorder with high charges for loot box purchases.,Inaguma Tokuya et al.,2024,PCN reports : psychiatry and clinical neurosciences,"A loot box is a gaming term for an electronic lottery that randomly provides items that enhance the gaming experience. In recent years, loot boxes have been increasingly discussed as a risk factor of gaming disorder (GD). While they may be purchased for a few dollars at a time, the cumulative expenses resulting from their addictive use have become a social problem. This paper presents a case of GD involving a substantial financial burden incurred through the use of a Japanese loot box called Gacha. The randomness in the selection of virtual items in loot boxes resembles gambling, triggering the reward system and contributing to an addiction to purchasing more loot boxes. For therapeutic purposes, understanding the motivations behind purchasing loot boxes and considering individual developmental characteristics are crucial to helping patients find satisfaction and a sense of achievement in activities besides gaming."
40980049,"Commentary: Prediction of problem gambling by demographics, gaming behavior and psychological correlates among gacha gamers: A cross-sectional online survey in Chinese young adults.",Xiao Leon Y et al.,2025,Frontiers in psychiatry,
41670808,"When Gaming Becomes Like Gambling: The Role of Flow, Immersion, Craving, and Self-control in Risky Loot Box use among Polish gamers.",Cudo Andrzej et al.,2026,Journal of gambling studies,"Loot boxes are in-game items offering randomised rewards, often purchased with real money, and share structural similarities with gambling. Risky loot box use (RLBU) has been associated with gaming disorder (GD) symptoms, gambling-related cognitions, and financial harms. This study examined psychological correlates of RLBU in a sample of Polish gamers. A cross-sectional online survey was conducted among 433 active gamers (216 female, M = 26.95 years, SD = 4.80), who had used loot boxes in the past 12 months. Participants completed measures of RLBU, GD symptoms, craving for gaming, self-control dimensions, flow, immersion, gaming platform use, and time spent on specific game genres. Hierarchical regression analyses showed that RLBU was positively associated with daily loot box use, purchasing loot boxes with real money, flow (absorption), immersion, craving for gaming, and GD symptoms. RLBU was negatively associated with self-control in the goal maintenance domain. Additionally, computer gaming was associated with higher RLBU compared to mobile gaming; however, this relationship was attenuated when psychological variables were included. No specific game genre was significantly associated with RLBU. These findings may suggest that immersive and absorbing gaming experiences, combined with low ability to maintain long-term goals, may increase susceptibility to RLBU, particularly when reinforced by monetary involvement and frequent use. The results may highlight the need for prevention strategies addressing self-control, gaming-related craving, and cognitive biases related to loot box outcomes, as well as consideration of structural game design elements that may foster problematic engagement."
37756294,What are the odds? Poor compliance with UK loot box probability disclosure industry self-regulation.,Xiao Leon Y et al.,2023,PloS one,"Loot boxes are purchased in video games to obtain randomised rewards of varying value and are thus psychologically akin to gambling. Disclosing the probabilities of obtaining loot box rewards may reduce overspending, in a similar vein to related disclosure approaches in gambling. Presently, this consumer protection measure has been adopted as law only in the People's Republic of China (PRC). In other countries, the videogaming industry has generally adopted this measure as self-regulation. However, self-regulation conflicts with commercial interests and might not maximally promote public welfare. The loot box prevalence rate amongst the 100 highest-grossing UK iPhone games was 77% in mid-2021. The compliance rate with probability disclosure industry self-regulation was only 64.0%, significantly lower than that of PRC legal regulation (95.6%). In addition, UK games generally made insufficiently prominent and difficult-to-access disclosures both in-game and on the game's official website. Significantly fewer UK games disclosed probabilities on their official websites (21.3%) when compared to 72.5% of PRC games. Only one of 75 UK games (1.3%) adopted the most prominent disclosure format of automatically displaying the probabilities on the in-game purchase page. Policymakers should demand more accountable forms of industry self-regulation or impose direct legal regulation to ensure consumer protection."
40727402,Loot box spending is associated with greater distress when normalized to disposable income: a reanalysis and extension of Etchells et al. and Xiao et al.,Drummond Aaron et al.,2025,Royal Society open science,"Loot boxes are purchasable, randomized rewards available in some video games. These mechanisms share important psychological and legal similarities with conventional forms of gambling. While research has consistently demonstrated an association between risk of gambling harm (as indexed by problem gambling symptomatology) and spending on loot boxes, findings are mixed on whether purchasing loot boxes is associated with psychological distress. Divergent findings may reflect uncontrolled socio-economic confounds. We reanalyse two recent, publicly available datasets for associations between loot box spending and psychological well-being and distress. We find divergent results. In one study, when loot box spending is normalized to participants' disposable income, loot box spending is associated with psychological distress, translating to increased risk of extreme distress, partially or fully accounted for by Problem Gambling Risk Status. In contrast, the other study, using a shorter distress scale, showed no relationships between loot box spending and distress irrespective of how spending was considered. Our findings suggest that loot box spending should be considered in the context of available financial means, albeit with improved measures. Our work concords with work on conventional gambling showing some gamblers bet more than they can afford to lose, meeting quintessential definitions of financial harm."
40438542,Non-compliance with and non-enforcement of UK loot box industry self-regulation on the Apple App Store: a longitudinal study on poor implementation.,Xiao Leon Y et al.,2025,Royal Society open science,"Loot boxes in video games can be purchased with real-world money in exchange for random rewards. Stakeholders are concerned about loot boxes' similarities to gambling and their potential harms (e.g. overspending money and developing gambling problems). The previous Conservative UK Government decided to first try relying on industry self-regulation to address the issue, rather than to impose legislation. These self-regulations have since been published by the industry trade body, Ukie (UK Interactive Entertainment). Responding to many stakeholders' desires for a transparent and independent assessment of their implementation, we assessed companies' compliance with three empirically testable measures and also whether the rules were actively enforced. The 100 highest-grossing iPhone games were longitudinally examined both prior to the self-regulations coming into effect on 18 July 2024 (i.e. between January and June 2024) and after to check for potential improvement (i.e. between July and December 2024). Disappointingly, widespread non-compliance and non-enforcement were observed. Among games with loot boxes, none (0.0%) sought to obtain explicit parental consent prior to enabling loot box purchasing by under-18s. Only 23.5% disclosed loot box presence, and the few disclosures were all visually obscured and difficult to access. A mere 8.6% consistently disclosed the probabilities of obtaining different rewards for all loot boxes found. The rules were not enforced, contrary to Ukie's promise: all of the games that were non-compliant before the self-regulations came into effect remained non-compliant many months later, despite Ukie and the Apple App Store having been provided with evidence of the contraventions and put on notice to delist those games if remedial actions were not forthcoming. Because Ukie itself cannot enforce these self-regulations, platforms (e.g. app stores), the advertising regulator and the consumer protection regulators must better enforce pre-existing rules to ensure adequate consumer protection as already promised. Video games and loot boxes are no longer novel; laws that apply to all industries must also be enforced against this one. Governments are advised against relying on industry self-regulation, especially after repeated demonstrations of its many failings. Stricter legal regulation of loot boxes should be adopted. Preregistered Stage 1 protocol: https://doi.org/10.17605/OSF.IO/3KNYB (date of in-principle acceptance: 25 March 2024)."
39430791,Colliding harms of gambling and gaming: A four-wave longitudinal population study of at-risk gambling and gaming in Finland.,Oksanen Atte et al.,2024,Nordisk alkohol- & narkotikatidskrift : NAT,"Aims: Both gambling and digital gaming are growing in popularity and there is ongoing discussion about their convergence. This population-based longitudinal survey study investigated how gambling and digital gaming types contribute to at-risk gambling and gaming. Methods: The study was based on a representative sample of 18-75-year-olds from mainland Finland. Survey data were collected at 6-month intervals in 2021-2022, starting in April 2021. Of original T1 respondents, 58.95% took part in all four time points. In total, 3,608 observations from 902 individuals were analysed. Outcome measures were at-risk gambling and gaming based on the Problem Gambling Severity Index and the Internet Gaming Disorder Test. Various types of gambling and gaming were investigated. Results: Population-averaged models showed that different forms of gambling were associated with a higher risk of at-risk gaming. Online casino games were associated with the highest likelihood of at-risk gambling and gaming. Prevalence of digital gaming problems was low. Hybrid models were used to investigate the longitudinal within-person and between-person effects of gambling and gaming activities. Online casino games and offline slot machines increased at-risk gambling. Microtransactions within digital games increased at-risk gambling and gaming over time, but the amount of money spent on digital gaming was small compared to gambling. Conclusions: Our results underline the risks of EGMs and online gambling for the participants. Although gambling and gaming are converging, harm is mostly based on gambling."
37159337,"A scoping review of the association between loot boxes, esports, skin betting, and token wagering with gambling and video gaming behaviors.",Kim Hyoun S et al.,2023,Journal of behavioral addictions,"Many new digital gambling-like activities such as loot boxes, esports betting, skin betting, and token wagering have recently emerged and grown in popularity. This scoping review aimed to: (a) synthesize the existing empirical research literature on gambling-like activities and their associations with gambling and video gaming behaviors, including problem gambling and video gaming; (b) identify sociodemographic, psychological, and motivational factors associated with engagement in gambling-like activities; and (c) identify research gaps and areas for further research. A systematic search of Ovid, Embsco, and ProQuest databases and Google Scholar was conducted in May 2021 and last updated in February 2022. The search yielded a total of 2,437 articles. Articles were included in the review if they were empirical studies that contained quantitative or qualitative results regarding the relationship between gambling-like activities and gambling or gaming. Thirty-eight articles met inclusion criteria and were included in the review. Overall, the review results suggest that all forms of gambling-like activities were positively associated with gambling and gaming with small to medium effects. Gambling-like activity participation was also positively associated with mental distress and impulsivity. Gaps identified included a lack of inquiry into skin betting and token wagering, a lack of diversity in the research methods (i.e., mainly cross-sectional surveys), and a paucity of research that includes more ethnically, culturally, and geographically diverse populations. Longitudinal studies with more representative samples are needed to examine the causal link between gambling-like activities and gambling and video gaming."
29435822,Do Simulated Gambling Activities Predict Gambling with Real Money During Adolescence? Empirical Findings from a Longitudinal Study.,Hayer Tobias et al.,2018,Journal of gambling studies,"As technology has developed, the international gambling market has changed markedly in recent years. The supply of internet-based gambling opportunities has become ever more significant. At the same time, the introduction of new gambling opportunities always brings a demand for evidence-based scientific evaluation, with regard to the associated risks of addiction. Simulated internet gambling, which is the focus of this study, represents a relatively new product group located at the interface between gambling and computer gaming. Concerns have been raised in scientific literature, especially with regard to the adolescent age group, as to whether participation in simulated internet gambling directly promotes recruitment to the world of monetary gambling, as defined in the gateway hypothesis. The research design was based on a standardized, representative longitudinal survey (over a 1-year period) with a total of 1178 school pupils from Northern Germany (M = 13.6 years; 47.5% male). It must be borne in mind that 12% of the adolescents belonged to the subgroup of ""onset gamblers"" and first reported experience with monetary gambling at the second stage of surveying. Logistic regression analysis demonstrates that this migration process is fostered by (1) participation from home in simulated gambling on social networks and (2) significant exposure to advertising (relating to both simulated and monetary gambling). Within the subgroup of simulated internet gamblers, variables such as particular patterns of use (including breadth and depth of involvement with simulated internet gambling, certain motives for participation, and microtransactions) do not serve as significant predictors. Despite this, important needs for action for the purposes of prevention and research can be identified."
36134206,Measuring loot box consumption and negative consequences: Psychometric investigation of a Swedish version of the Risky Loot Box Index.,Forsström David et al.,2022,Addictive behaviors reports,"Loot boxes are products in videogames that is earned by playing a video game or by buying them. Loot boxes has similar mechanisms as a lottery and there is an ongoing debate if loot boxes are gambling. However, to understand the potential harm of loot boxes valid instruments are needed. An English study psychometrically evaluated an instrument focused on risky loot box use called the Risky Loot Box Index. The study evaluated 12 item scale and based on a factor analysis it was reduced to a five-item scale. The aim of our study is to evaluate a Swedish version of the 12-item instrument from a psychometric perspective. Two samples recruited via an online survey were used. The first sample was recruited from the gambling site Unibet. A mail with an invitation to participate was sent to esports bettors and sport bettors at the gambling site. The second sample was recruited from a Facebook forum focused on e-sports. An invitation was posted on the forum to partake in the study. A total of 195 of respondents (96% men and 4% women) with a mean age of 33.76 (SD = 12.34) answered the Unibet survey and 169 respondents (96% men and 4% women and non-binary) with a mean age of 23.89 (SD = 5.52) answered the Facebook survey. An exploratory factor analysis yielded a two-factor seven item solution. The factors were overconsumption regarding time spent on loot boxes and the other factor was focused on overconsumption of loot boxes in terms of spending money. The confirmatory factor analysis conducted in the Facebook sample validated the result from the exploratory factor analysis. The conclusion of the study is that the Swedish version of the Risky Loot Index has good psychometric properties and can used to measure risky loot box consumption."
30955212,"Loot box limit-setting is not sufficient on its own to prevent players from overspending: a reply to Drummond, Sauer & Hall.",King Daniel L et al.,2019,"Addiction (Abingdon, England)",
41037849,Game related over-spending across age groups and its association with gaming disorder.,Leung Janni et al.,2026,Addictive behaviors,"Gaming disorder is a new addictive disorder under the ICD-11. Most of recent research focuses on young people and its impact on mental and physical health. However, it can also have negative financial impacts as in-game microtransaction and esport betting becoming more common, and this impact could be particularly problematic for older people. This study estimates the association between gaming disorder and game-related overspending. Data were from the 2022 International Gaming Study (IGS22), a multi-country cross sectional survey of 955 individuals aged 18-94 (M = 46; SD = 16; 45 % Male). We estimated the proportion of participants who reported game-related overspending and modelled its association with ICD-11 Gaming Disorder using logistic regression. In general, a much smaller but non-negligible proportion of older people (66 years old + ) reported various type of game-related overspending (4 - 9 %) compared to younger age groups. Individuals who are at risk of gaming disorder were at six to nine times higher odds of reporting various type of gaming-related overspending. This study reveals a novel association between gaming disorder and overspending on purchasing games, in-game purchases, and esports betting across various age groups. While young individuals were more likely to report overspending, some older adults were also affected. As the measure reflects self-reported overspending, further research is needed to assess whether this translates into actual financial hardship."
32353204,"Excessive Spending in a ""Free-to-Play"" Smartphone Game.",Kleinman Robert A et al.,2020,The American journal on addictions,"Although gaming disorder is increasingly recognized, there has been limited consideration of the impact of free-to-play games with in-game purchases, also called microtransactions. Case report (n = 1). A patient with posttraumatic stress disorder, major depressive disorder in remission, polysubstance use disorders in remission, and opioid use disorder on buprenorphine/naloxone developed gaming disorder (based on International Classification of Diseases, 11th revision) and spent up to 40% of his monthly income on microtransactions within a smartphone game. Treatment consisted of relinquishing access to electronic payment mechanisms, motivational interviewing, and couples therapy. The case highlights how in-game purchases may cause patients with gaming disorder to experience financial consequences, and the need for further characterization of the clinical ramifications of microtransactions. To the best of our knowledge, this is the first report in the medical literature of a patient with gaming disorder developing excessive in-game spending from expenditures on microtransactions. (Am J Addict 2020;29:528-530)."
